,id,sentiment_score
467,109_28,2.642857142857143
468,109_29,3.106382978723404
469,109_3,3.4814814814814814
470,109_30,3.8333333333333335
471,109_31,4.0625
472,109_32,3.578125
473,109_33,3.4146341463414633
474,109_34,3.413793103448276
475,109_35,3.3823529411764706
476,109_36,3.1176470588235294
477,109_37,3.5344827586206895
478,109_38,3.3529411764705883
479,109_39,3.090909090909091
480,109_4,2.7222222222222223
481,109_40,4.090909090909091
482,109_41,3.7333333333333334
483,109_42,2.888888888888889
484,109_43,3.945945945945946
485,109_44,3.5
486,109_45,3.6666666666666665
487,109_46,3.9545454545454546
488,109_47,4.285714285714286
489,109_48,3.3333333333333335
490,109_49,3.2
491,109_5,3.59375
492,109_50,3.1794871794871793
493,109_6,3.3421052631578947
494,109_7,3.2777777777777777
495,109_8,3.7222222222222223
496,109_9,3.739130434782609
497,10_1,3.2142857142857144
498,10_10,3.2753623188405796
499,10_11,3.5714285714285716
500,10_12,3.4878048780487805
501,10_13,3.3333333333333335
502,10_14,3.316666666666667
503,10_15,3.5652173913043477
504,10_16,3.875
505,10_17,3.6956521739130435
506,10_18,3.8
507,10_19,3.3125
508,10_2,3.96
509,10_20,3.290909090909091
510,10_21,3.3214285714285716
511,10_22,3.6538461538461537
512,10_23,3.6
513,10_24,3.55
514,10_25,3.5454545454545454
515,10_26,3.2
516,10_27,3.36
517,10_28,3.7666666666666666
518,10_29,3.433333333333333
519,10_3,2.8421052631578947
520,10_30,3.8484848484848486
521,10_31,3.6097560975609757
522,10_32,3.1363636363636362
523,10_33,3.3793103448275863
524,10_34,3.5463917525773194
525,10_35,3.9285714285714284
526,10_36,3.8285714285714287
527,10_37,3.84
528,10_38,2.6666666666666665
529,10_39,3.25
530,10_4,3.9411764705882355
531,10_40,4.0
532,10_41,3.0
533,10_42,3.230769230769231
534,10_43,3.533333333333333
535,10_44,4.9
536,10_45,2.8125
537,10_46,3.2142857142857144
538,10_47,2.6666666666666665
539,10_48,3.1951219512195124
540,10_49,3.317073170731707
541,10_5,2.9285714285714284
542,10_50,3.4761904761904763
543,10_6,3.8461538461538463
544,10_7,3.4166666666666665
545,10_8,3.0
546,10_9,3.125
547,110_1,3.5833333333333335
548,110_10,3.272727272727273
549,110_11,3.40625
550,110_12,3.8333333333333335
551,110_13,3.6875
552,110_14,4.142857142857143
553,110_15,3.3529411764705883
554,110_16,3.533333333333333
555,110_17,3.823529411764706
556,110_18,3.235294117647059
557,110_19,4.214285714285714
558,110_2,3.642857142857143
559,110_20,2.5416666666666665
560,110_21,3.5106382978723403
561,110_23,3.1363636363636362
562,110_24,4.088888888888889
563,110_25,3.5555555555555554
564,110_26,3.217391304347826
565,110_27,3.9696969696969697
566,110_28,4.043478260869565
567,110_29,3.4444444444444446
568,110_3,2.880952380952381
569,110_30,3.0303030303030303
570,110_31,3.7
571,110_32,2.6451612903225805
572,110_33,4.1
573,110_34,3.515151515151515
574,110_35,3.6785714285714284
575,110_36,3.739130434782609
576,110_37,3.423076923076923
577,110_38,3.0454545454545454
578,110_39,3.4
579,110_4,3.7058823529411766
580,110_40,2.8095238095238093
581,110_41,3.763157894736842
582,110_42,3.4615384615384617
583,110_43,4.130434782608695
584,110_44,4.27906976744186
585,110_45,3.310344827586207
586,110_46,3.210526315789474
587,110_47,3.619047619047619
588,110_48,3.8684210526315788
589,110_49,3.073170731707317
590,110_5,3.652173913043478
591,110_50,2.6
592,110_6,4.352941176470588
593,110_7,4.0
594,110_8,3.4444444444444446
595,110_9,4.0
596,111_1,4.0
597,111_10,3.3513513513513513
598,111_11,3.725806451612903
599,111_12,3.176470588235294
600,111_13,2.9452054794520546
601,111_14,3.7551020408163267
602,111_15,3.6538461538461537
603,111_16,2.6
604,111_17,3.09375
605,111_19,3.1333333333333333
606,111_2,3.5185185185185186
607,111_20,3.764705882352941
608,111_21,3.508771929824561
609,111_22,3.25
610,111_23,3.1666666666666665
611,111_24,3.5517241379310347
612,111_25,3.4
613,111_26,3.7027027027027026
614,111_27,3.682926829268293
615,111_28,4.25
616,111_29,3.342857142857143
617,111_3,3.0303030303030303
618,111_30,3.1
619,111_31,3.793103448275862
620,111_32,3.627906976744186
621,111_33,3.22
622,111_34,3.5
623,111_35,3.5405405405405403
624,111_36,3.1869158878504673
625,111_37,2.6666666666666665
626,111_38,4.363636363636363
627,111_39,3.7
628,111_4,3.0833333333333335
629,111_40,3.888888888888889
630,111_41,3.1176470588235294
631,111_42,2.5
632,111_43,3.54
633,111_44,4.0
634,111_45,3.4583333333333335
635,111_46,3.4285714285714284
636,111_47,3.3057851239669422
637,111_48,2.824915824915825
638,111_49,3.909090909090909
639,111_5,3.7096774193548385
640,111_50,3.5970149253731343
641,111_6,3.8055555555555554
642,111_7,3.1538461538461537
643,111_8,3.6818181818181817
644,111_9,3.68
645,112_1,3.0285714285714285
646,112_10,4.5
647,112_11,3.111111111111111
648,112_12,3.0
649,112_13,3.725806451612903
650,112_14,3.5
651,112_15,3.6551724137931036
652,112_16,4.066666666666666
653,112_17,3.736842105263158
654,112_18,3.8947368421052633
655,112_19,3.6818181818181817
656,112_2,3.380952380952381
657,112_20,3.588235294117647
658,112_21,3.0
659,112_22,3.466666666666667
660,112_23,3.4
661,112_24,3.3333333333333335
662,112_25,3.6296296296296298
663,112_26,4.1
664,112_27,3.586206896551724
665,112_28,4.2631578947368425
