,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,sentiment_score,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders
111,0,22,16,52700,1,6,14,7,1,3,5,1,0,3.0,1,0.3571428571428571,2016,BMW M3,1,43500,13184,121,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8
112,1,49,26,53900,1,6,13,2,8,7,4,1,0,2.0,1,0.4090909090909091,2003,BMW M3,1,18666,5684,124,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
113,1,24,29,82500,1,6,9,6,9,2,5,1,0,6.0,1,0.2727272727272727,2004,BMW M3,1,24500,8840,151,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
114,1,47,84,56200,0,6,11,9,10,2,1,1,2,2.0,1,0.2608695652173913,2013,BMW M3,1,47500,14277,148,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
115,1,29,24,110600,1,6,10,15,11,2,3,1,0,3.0,1,0.0476190476190476,2003,BMW M3,1,19346,10210,172,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
116,0,13,28,149900,1,5,10,24,4,6,7,1,0,5.0,1,0.16,1998,BMW M3,1,15250,14470,90,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
117,1,13,13,74300,0,5,12,1,5,5,4,1,0,2.0,0,0.1111111111111111,2008,BMW M3,1,19500,4622,83,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11
118,1,40,19,55500,1,5,11,7,5,6,2,1,0,2.0,0,0.0,2009,BMW M3,1,23100,5393,96,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,19
119,1,32,49,177100,1,5,10,19,11,4,3,1,0,1.0,1,0.3111111111111111,2002,BMW M3,1,21500,13070,111,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
120,1,37,47,51800,1,6,11,8,4,2,4,1,3,5.0,1,0.4594594594594595,2008,BMW M3,1,35750,12916,100,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7
