,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders,sentiment_score
10,1,38,30,122900,1,5,10,2,15,3,4,1,0,3.0,1,2003,BMW M3,1,15100,15332,79,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0.547645125958379
11,1,33,68,196900,1,5,12,0,12,4,4,1,0,4.0,1,2008,BMW M3,1,20000,9433,147,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.6555033694098429
12,1,28,77,149200,0,4,14,0,9,1,1,1,2,1.0,1,2004,BMW M3,1,11000,10108,77,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,0.4254518072289157
13,0,26,34,157200,1,6,10,9,12,1,6,1,3,3.0,1,2006,BMW M3,1,18750,15946,146,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0.4216867469879517
14,1,21,32,85000,1,5,12,4,7,6,4,1,0,3.0,1,2006,BMW M3,1,23000,12827,101,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.3112449799196787
15,1,3,29,55100,1,5,13,1,10,1,9,1,0,8.0,1,2002,BMW M3,1,15250,6482,167,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.6950880444856349
16,1,9,45,138300,1,5,8,0,11,4,2,1,0,2.0,1,2006,BMW M3,1,21000,18377,74,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0.3200301204819277
17,1,8,137,4400,1,4,11,0,0,0,4,1,0,1.0,0,2021,BMW M3,1,70774,30585,141,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0.5993975903614458
18,0,19,30,151400,0,5,10,2,10,2,2,1,0,2.0,1,2003,BMW M3,1,11000,10117,104,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0.38979447200566975
19,0,19,54,118800,1,4,9,0,10,4,4,1,2,1.0,1,1997,BMW M3,1,10800,16433,65,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.35341365461847385
20,1,38,43,56400,1,5,10,0,10,3,4,1,0,1.0,0,2006,BMW M3,1,26250,6568,111,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.3463855421686747
21,1,22,54,102300,1,4,15,1,6,3,4,1,0,4.0,1,2016,BMW M3,1,35750,17054,61,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0.38763750654793083
22,1,57,42,70900,1,6,15,6,7,2,4,1,2,1.0,1,2015,BMW M3,1,40500,13702,108,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.33734939759036137
23,1,39,26,38500,1,6,9,4,5,0,3,1,3,2.0,0,2013,BMW M3,1,37250,13236,134,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19,0.4417670682730923
24,1,26,43,86300,0,6,13,8,6,4,2,1,0,3.0,1,2004,BMW M3,1,25750,12476,110,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14,0.5689424364123159
25,1,45,82,66600,1,6,6,31,6,2,3,1,0,10.0,1,2008,BMW M3,1,35500,19299,105,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0.4951312097705892
26,1,27,63,157600,0,6,10,5,9,2,2,1,0,1.0,1,2003,BMW M3,1,15888,11702,62,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0.14257028112449804
27,0,36,29,110400,1,5,8,5,7,7,3,1,0,1.0,1,2002,BMW M3,1,18000,11442,116,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0.6204819277108434
28,0,56,38,27300,1,6,7,10,9,3,4,1,0,2.0,1,2011,BMW M3,1,41000,10107,125,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0.6024096385542168
29,1,36,10,15800,1,7,14,8,4,6,4,1,0,4.0,1,2008,BMW M3,1,38000,6166,114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0.8032128514056225
30,1,32,140,45500,1,6,9,7,7,2,5,1,0,1.0,1,2002,BMW M3,1,36500,16818,117,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.5294863665187064
31,1,27,27,13400,1,6,10,2,2,0,4,1,0,4.0,0,2012,BMW M3,1,40000,6895,185,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0.684844641724794
32,1,18,11,141700,0,4,10,1,10,3,3,1,0,1.0,0,2002,BMW M3,1,10600,6780,224,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.428380187416332
33,0,36,23,211900,1,5,10,7,11,3,7,1,0,2.0,1,1998,BMW M3,1,11500,15592,216,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0.624315443592552
34,1,27,39,30400,1,6,10,0,11,3,3,1,0,1.0,1,2008,BMW M3,1,35999,9007,143,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0.7275254865616312
35,1,24,29,71300,1,6,12,9,7,4,4,1,0,1.0,1,2012,BMW M3,1,36250,11229,68,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0.6120481927710844
36,1,30,108,128600,1,4,6,10,7,4,3,1,0,2.0,1,1991,BMW M3,1,68000,34708,94,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0.5343111576741749
37,1,23,16,83100,1,5,11,0,16,8,5,1,0,3.0,1,2008,BMW M3,1,26000,6846,106,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0.6626506024096386
38,1,40,63,45700,0,6,12,7,6,2,4,1,0,1.0,1,2011,BMW M3,1,31250,12364,77,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0.28696604600219056
39,1,21,21,140400,1,6,11,4,7,1,1,1,0,4.0,0,2002,BMW M3,1,9800,6569,100,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0.03012048192771083
40,1,38,45,103400,1,5,12,4,9,5,5,1,0,7.0,1,2006,BMW M3,1,16000,8005,160,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0.3687477181453085
41,1,19,12,176200,1,6,12,9,11,4,5,1,2,3.0,1,1998,BMW M3,1,14250,15389,210,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0.624315443592552
42,1,32,76,35800,1,6,10,6,8,4,5,1,0,5.0,1,2013,BMW M3,1,59500,20875,99,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0.45180722891566266
43,1,20,24,40200,1,4,11,2,6,4,2,1,0,2.0,1,2004,BMW M3,1,21500,6670,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0.4709748083242059
